Symbol,Name
EURUSD%3DX,EUR USD
USDJPY%3DX,USD Japan
GBPUSD%3DX,GBP USD
AUDUSD%3DX,AUS USD
NZDUSD%3DX,NZ USD
EURJPY%3DX,EUR JAPAN
GBPJPY%3DX,GBP JAPAN
EURGBP%3DX,EUR GBP
EURCAD%3DX,EUR CAD
EURSEK%3DX,EUR SEK
EURCHF%3DX,EUR CHF
EURHUF%3DX,EUR HUF
EURJPY%3DX,EUR JAPAN
USDCNY%3DX,USD CHN
USDHKD%3DX,USD HKD
USDSGD%3DX,USD SGD
USDINR%3DX,USD INR
USDMXN%3DX,USD MXN
USDPHP%3DX,USD PHP
USDIDR%3DX,USD IDR
USDTHB%3DX,USD THB
USDMYR%3DX,USD MYR
USDZAR%3DX,USD ZAR
USDRUB%3DX,USD RUB
